10 90.9
66692 66.2
133374 65.0
200056 64.4
266738 63.5
333420 61.9
400102 61.0
466784 60.5
533466 59.7
600148 58.9
666830 58.1
733512 57.3
800194 56.5
866876 55.8
933558 55.1
1000240 54.5
1066922 53.8
1133604 53.1
1200286 52.4
1266968 51.6
1333650 50.8
1400332 50.2
1467014 48.3
1533696 47.4
1600378 43.1
1667060 37.6
1733742 35.6
1800424 34.4
1867106 33.8
1933788 33.2
2000470 32.6
2067152 32.0
2133834 31.4
2200516 30.9
2267198 30.3
2333880 29.7
2400562 29.1
2467244 27.7
2533926 27.4
2600608 27.2
2667290 27.2
2733972 27.2
