10 88.9
1627501 66.0
3254992 64.7
4882483 63.1
6509974 62.0
8137465 60.1
9764956 58.3
11392447 57.1
13019938 55.1
14647429 53.1
16274920 51.7
17902411 51.2
19529902 50.1
21157393 48.8
22784884 47.7
24412375 47.2
26039866 46.4
27667357 46.0
29294848 45.6
30922339 44.9
32549830 44.2
34177321 42.9
35804812 41.9
37432303 41.9
39059794 41.7
40687285 41.6
42314776 41.6
43942267 41.5
45569758 41.2
47197249 40.9
48824740 40.9
50452231 40.8
52079722 40.8
53707213 40.8
55334704 40.8
56962195 40.8
58589686 40.8
60217177 40.8
61844668 40.8
63472159 40.8
65099650 40.8
66727141 40.8
68354632 40.8
69982123 40.8
71609614 40.8
73237105 40.8
74864596 40.8
76492087 40.8
78119578 40.8
79747069 40.7
81374560 40.7
83002051 40.7
