40343	49.3934
80686	49.8422
121029	50.3339
161372	50.6927
201715	51.2172
242058	52.2418
282401	52.2495
322744	52.2706
363087	52.2763
403430	52.2785
443773	52.2798
484116	52.2811
524459	52.2835
564802	52.2859
605145	52.2874
645488	52.2884
685831	52.2899
726174	52.2913
766517	52.2923
806860	52.2934
847203	52.3259
887546	52.3271
927889	52.3282
968232	52.3293
1008575	52.8275
1048918	53.6463
1089261	54.4657
1129604	55.178
1169947	55.5873
1210290	56.0026
1250633	56.1705
1290976	56.7755
1331319	57.6167
1371662	58.302
1412005	58.888
1452348	59.2943
1492691	59.702
1533034	60.1157
1573377	60.5162
1613720	60.9285
1654063	69.7656
1694406	70.3317
1734749	70.8417
1775092	71.9006
1815435	79.2306
1855778	79.2676
1896121	79.276
1936464	79.3307
1976807	79.3755
2017150	79.4254
