10 8.5
109187 22.1
218364 22.3
327541 22.8
436718 25.2
545895 27.1
655072 28.5
764249 29.9
873426 31.2
982603 32.8
1091780 34.2
1200957 36.0
1310134 37.3
1419311 39.2
1528488 40.7
1637665 43.2
1746842 45.4
1856019 47.6
1965196 49.8
2074373 51.9
2183550 54.0
2292727 56.1
2401904 58.4
2511081 60.8
2620258 62.6
2729435 64.3
2838612 66.1
2947789 67.8
3056966 69.6
3166143 71.3
3275320 72.9
3384497 73.9
3493674 74.7
3602851 74.9
3712028 75.0
3821205 75.2
3930382 75.3
4039559 75.5
4148736 75.6
4257913 75.7
4367090 75.9
4476267 76.0
4585444 76.2
4694621 76.3
4803798 77.1
4912975 78.0
5022152 78.1
5131329 78.3
5240506 78.6
5349683 78.7
5458860 78.7
5568037 78.7
