10 9.1
53355 33.3
106700 34.6
160045 35.3
213390 35.6
266735 36.6
320080 37.7
373425 38.6
426770 38.8
480115 39.5
533460 40.1
586805 40.8
640150 41.5
693495 42.2
746840 42.8
800185 43.5
853530 44.1
906875 44.7
960220 45.2
1013565 45.8
1066910 46.5
1120255 47.1
1173600 47.7
1226945 48.3
1280290 48.9
1333635 49.6
1386980 50.5
1440325 52.1
1493670 52.6
1547015 53.3
1600360 57.3
1653705 58.3
1707050 59.3
1760395 59.9
1813740 60.5
1867085 61.1
1920430 63.2
1973775 64.2
2027120 65.4
2080465 67.1
2133810 69.2
2187155 69.7
2240500 70.2
2293845 70.7
2347190 71.1
2400535 71.6
2453880 72.2
2507225 72.7
2560570 72.7
2613915 72.8
2667260 72.8
2720605 72.8
