27921	80.1253
55842	80.1865
83763	80.2074
111684	80.2311
139605	80.2441
167526	80.2532
195447	80.2609
223368	80.2743
251289	80.2822
279210	80.2979
307131	80.3123
335052	80.3236
362973	80.3315
390894	80.3392
418815	80.3523
446736	80.3576
474657	81.3794
502578	81.3891
530499	81.3942
558420	81.3972
586341	81.4059
614262	81.4867
642183	88.7218
670104	88.7335
698025	88.7344
725946	88.7348
753867	88.7355
781788	88.7373
809709	88.7396
837630	88.7405
865551	88.749
893472	88.9906
921393	88.9975
949314	89.0088
977235	89.0172
1005156	89.0245
1033077	89.0261
1060998	91.1531
1088919	91.1544
1116840	91.1555
1144761	91.1567
1172682	91.1618
1200603	91.1633
1228524	94.1948
1256445	94.2077
1284366	94.2131
1312287	94.2334
1340208	94.2631
1368129	94.2787
1396050	94.5484
