10 91.5
136481 77.6
272952 77.4
409423 73.7
545894 72.2
682365 70.2
818836 68.8
955307 67.4
1091778 66.0
1228249 64.6
1364720 63.2
1501191 61.7
1637662 60.1
1774133 58.1
1910604 55.8
2047075 53.5
2183546 51.2
2320017 48.8
2456488 46.5
2592959 42.2
2729430 40.9
2865901 39.0
3002372 37.1
3138843 35.2
3275314 33.3
3411785 31.3
3548256 29.3
3684727 25.3
3821198 24.2
3957669 23.4
4094140 23.0
4230611 22.8
4367082 22.6
4503553 22.4
4640024 22.0
4776495 21.7
4912966 21.6
5049437 21.6
5185908 21.3
5322379 21.3
5458850 21.3
5595321 21.3
